areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2020-08-28,817
overview,United Kingdom,K02000001,2020-08-27,839
overview,United Kingdom,K02000001,2020-08-26,828
overview,United Kingdom,K02000001,2020-08-25,843
overview,United Kingdom,K02000001,2020-08-24,875
overview,United Kingdom,K02000001,2020-08-23,869
overview,United Kingdom,K02000001,2020-08-22,942
overview,United Kingdom,K02000001,2020-08-21,888
overview,United Kingdom,K02000001,2020-08-20,909
overview,United Kingdom,K02000001,2020-08-19,924
overview,United Kingdom,K02000001,2020-08-18,952
overview,United Kingdom,K02000001,2020-08-17,981
overview,United Kingdom,K02000001,2020-08-16,978
overview,United Kingdom,K02000001,2020-08-15,973
overview,United Kingdom,K02000001,2020-08-14,994
overview,United Kingdom,K02000001,2020-08-13,1007
overview,United Kingdom,K02000001,2020-08-12,1003
overview,United Kingdom,K02000001,2020-08-11,1038
overview,United Kingdom,K02000001,2020-08-10,1086
overview,United Kingdom,K02000001,2020-08-09,982
overview,United Kingdom,K02000001,2020-08-08,1026
overview,United Kingdom,K02000001,2020-08-07,1093
overview,United Kingdom,K02000001,2020-08-06,1153
overview,United Kingdom,K02000001,2020-08-05,1198
overview,United Kingdom,K02000001,2020-08-04,1214
overview,United Kingdom,K02000001,2020-08-03,1249
overview,United Kingdom,K02000001,2020-08-02,1252
overview,United Kingdom,K02000001,2020-08-01,1288
overview,United Kingdom,K02000001,2020-07-31,1264
overview,United Kingdom,K02000001,2020-07-30,1313
overview,United Kingdom,K02000001,2020-07-29,1349
overview,United Kingdom,K02000001,2020-07-28,1368
overview,United Kingdom,K02000001,2020-07-27,1369
overview,United Kingdom,K02000001,2020-07-26,1382
overview,United Kingdom,K02000001,2020-07-25,1400
overview,United Kingdom,K02000001,2020-07-24,1453
overview,United Kingdom,K02000001,2020-07-23,1538
overview,United Kingdom,K02000001,2020-07-22,1747
overview,United Kingdom,K02000001,2020-07-21,1634
overview,United Kingdom,K02000001,2020-07-20,1734
overview,United Kingdom,K02000001,2020-07-19,1742
overview,United Kingdom,K02000001,2020-07-18,1776
overview,United Kingdom,K02000001,2020-07-17,1804
overview,United Kingdom,K02000001,2020-07-16,1829
overview,United Kingdom,K02000001,2020-07-15,1974
overview,United Kingdom,K02000001,2020-07-14,1993
overview,United Kingdom,K02000001,2020-07-13,2112
overview,United Kingdom,K02000001,2020-07-12,2100
overview,United Kingdom,K02000001,2020-07-11,2118
overview,United Kingdom,K02000001,2020-07-10,2243
overview,United Kingdom,K02000001,2020-07-09,2344
overview,United Kingdom,K02000001,2020-07-08,2454
overview,United Kingdom,K02000001,2020-07-07,2598
overview,United Kingdom,K02000001,2020-07-06,2699
overview,United Kingdom,K02000001,2020-07-05,2741
overview,United Kingdom,K02000001,2020-07-04,2801
overview,United Kingdom,K02000001,2020-07-03,2942
overview,United Kingdom,K02000001,2020-07-02,3079
overview,United Kingdom,K02000001,2020-07-01,3198
overview,United Kingdom,K02000001,2020-06-30,3383
overview,United Kingdom,K02000001,2020-06-29,3748
overview,United Kingdom,K02000001,2020-06-28,3557
overview,United Kingdom,K02000001,2020-06-27,3544
overview,United Kingdom,K02000001,2020-06-26,3620
overview,United Kingdom,K02000001,2020-06-25,3850
overview,United Kingdom,K02000001,2020-06-24,4030
overview,United Kingdom,K02000001,2020-06-23,4134
overview,United Kingdom,K02000001,2020-06-22,4281
overview,United Kingdom,K02000001,2020-06-21,4222
overview,United Kingdom,K02000001,2020-06-20,4252
overview,United Kingdom,K02000001,2020-06-19,4414
overview,United Kingdom,K02000001,2020-06-18,4560
overview,United Kingdom,K02000001,2020-06-17,4719
overview,United Kingdom,K02000001,2020-06-16,4863
overview,United Kingdom,K02000001,2020-06-15,4870
overview,United Kingdom,K02000001,2020-06-14,4908
overview,United Kingdom,K02000001,2020-06-13,4941
overview,United Kingdom,K02000001,2020-06-12,5089
overview,United Kingdom,K02000001,2020-06-11,5179
overview,United Kingdom,K02000001,2020-06-10,5470
overview,United Kingdom,K02000001,2020-06-09,5730
overview,United Kingdom,K02000001,2020-06-08,5925
overview,United Kingdom,K02000001,2020-06-07,5937
overview,United Kingdom,K02000001,2020-06-06,6142
overview,United Kingdom,K02000001,2020-06-05,6372
overview,United Kingdom,K02000001,2020-06-04,6573
overview,United Kingdom,K02000001,2020-06-03,6812
overview,United Kingdom,K02000001,2020-06-02,7084
overview,United Kingdom,K02000001,2020-06-01,7246
overview,United Kingdom,K02000001,2020-05-31,7236
overview,United Kingdom,K02000001,2020-05-30,7266
overview,United Kingdom,K02000001,2020-05-29,7585
overview,United Kingdom,K02000001,2020-05-28,7905
overview,United Kingdom,K02000001,2020-05-27,8218
overview,United Kingdom,K02000001,2020-05-26,8730
overview,United Kingdom,K02000001,2020-05-25,8835
overview,United Kingdom,K02000001,2020-05-24,8813
overview,United Kingdom,K02000001,2020-05-23,8813
overview,United Kingdom,K02000001,2020-05-22,9183
overview,United Kingdom,K02000001,2020-05-21,9292
overview,United Kingdom,K02000001,2020-05-20,9562
overview,United Kingdom,K02000001,2020-05-19,10012
overview,United Kingdom,K02000001,2020-05-18,10230
overview,United Kingdom,K02000001,2020-05-17,10198
overview,United Kingdom,K02000001,2020-05-16,10237
overview,United Kingdom,K02000001,2020-05-15,10690
overview,United Kingdom,K02000001,2020-05-14,10920
overview,United Kingdom,K02000001,2020-05-13,11342
overview,United Kingdom,K02000001,2020-05-12,11591
overview,United Kingdom,K02000001,2020-05-11,11967
overview,United Kingdom,K02000001,2020-05-10,11727
overview,United Kingdom,K02000001,2020-05-09,12021
overview,United Kingdom,K02000001,2020-05-08,12053
overview,United Kingdom,K02000001,2020-05-07,12626
overview,United Kingdom,K02000001,2020-05-06,13147
overview,United Kingdom,K02000001,2020-05-05,13722
overview,United Kingdom,K02000001,2020-05-04,14096
overview,United Kingdom,K02000001,2020-05-03,14187
overview,United Kingdom,K02000001,2020-05-02,14379
overview,United Kingdom,K02000001,2020-05-01,14722
overview,United Kingdom,K02000001,2020-04-30,15163
overview,United Kingdom,K02000001,2020-04-29,15520
overview,United Kingdom,K02000001,2020-04-28,15876
overview,United Kingdom,K02000001,2020-04-27,16661
overview,United Kingdom,K02000001,2020-04-26,16555
overview,United Kingdom,K02000001,2020-04-25,16604
overview,United Kingdom,K02000001,2020-04-24,17063
overview,United Kingdom,K02000001,2020-04-23,17867
overview,United Kingdom,K02000001,2020-04-22,18533
overview,United Kingdom,K02000001,2020-04-21,19139
overview,United Kingdom,K02000001,2020-04-20,19330
overview,United Kingdom,K02000001,2020-04-19,19573
overview,United Kingdom,K02000001,2020-04-18,19455
overview,United Kingdom,K02000001,2020-04-17,19329
overview,United Kingdom,K02000001,2020-04-16,20388
overview,United Kingdom,K02000001,2020-04-15,20581
overview,United Kingdom,K02000001,2020-04-14,21280
overview,United Kingdom,K02000001,2020-04-13,21307
overview,United Kingdom,K02000001,2020-04-12,21687
overview,United Kingdom,K02000001,2020-04-11,21254
overview,United Kingdom,K02000001,2020-04-10,21280
overview,United Kingdom,K02000001,2020-04-09,21005
overview,United Kingdom,K02000001,2020-04-08,20740
overview,United Kingdom,K02000001,2020-04-07,20234
overview,United Kingdom,K02000001,2020-04-06,19493
overview,United Kingdom,K02000001,2020-04-05,18855
overview,United Kingdom,K02000001,2020-04-04,17502
overview,United Kingdom,K02000001,2020-04-03,15546
overview,United Kingdom,K02000001,2020-04-02,13875
overview,United Kingdom,K02000001,2020-04-01,13637
overview,United Kingdom,K02000001,2020-03-31,12597
overview,United Kingdom,K02000001,2020-03-30,11093
overview,United Kingdom,K02000001,2020-03-29,9525
overview,United Kingdom,K02000001,2020-03-28,8278
overview,United Kingdom,K02000001,2020-03-27,7267
